ISBN 10,ISBN 13,Title,Authors,Binding,Publisher,Publication Date,Bookshelf,Bookshelf Date,Date Added,Tags,Favorite,Rating,Review
0321127420,9780321127426,Patterns of Enterprise Application Architecture,Martin Fowler,Hardcover,Addison-Wesley Professional,2002-11-05,Read,2008-09-15,2008-06-20 22:46:48 -0700,"",false,,
0575080507,9780575080508,Brasyl (Gollancz S.F.),Ian McDonald,Paperback,Gollancz,2007-06-21,Read,2008-07-04,2008-06-17 16:58:01 -0700,"",false,4.0,"The book was pretty fantastic, but I think I will have to read it again to parse all the cultural references and the concepts that the author was putting forward regarding parallel universes.

Ian McDonald acknowledges the book The Fabric of Reality for inspiring a lot of ideas in this book. For me, the best thing to come out of this book was being introduced to The Fabric of Reality which is simply fantastic!"
055329461X,9780553294613,The Difference Engine (Spectra Special Editions),William Gibson,Mass Market Paperback,Spectra,1992-01-01,Read,2008-06-20,2008-06-15 18:40:25 -0700,"",false,1.0,
0321486811,9780321486813,"Compilers: Principles, Techniques, and Tools (2nd Edition)","Alfred V. Aho, Monica S. Lam, Ravi Sethi, Jeffrey D. Ullman",Hardcover,Addison Wesley,2006-08-31,Read,2008-07-22,2008-06-14 23:16:58 -0700,"",false,,
1400078784,9781400078783,Travels with Herodotus (Vintage International),Ryszard Kapuscinski,Paperback,Vintage,2008-06-10,Read,2008-07-10,2008-06-14 18:51:35 -0700,"",false,5.0,
0330491172,9780330491174,Corner Of A Foreign Field: The Indian History Of A British Sport,Ramachandra Guha,Paperback,Pan Macmillan,2002-12-31,Read,2008-06-20,2008-06-13 20:44:28 -0700,"",false,4.0,
0374174229,9780374174224,Sea of Poppies: A Novel,Amitav Ghosh,Hardcover,"Farrar, Straus and Giroux",2008-10-14,Read,2008-09-08,2008-06-10 04:50:35 -0700,nlb,false,,
0805088180,9780805088182,The Book of Love: The Story of the Kamasutra,James McConnachie,Hardcover,Metropolitan Books,2008-05-27,Read,2009-02-16,2008-06-05 18:02:17 -0700,"",false,,
0596517742,9780596517748,JavaScript: The Good Parts,Douglas Crockford,Paperback,"O'Reilly Media, Inc.",2008-05-15,Read,2008-06-03,2008-06-03 05:38:22 -0700,hacking,true,5.0,"This is an excellent book! Even though it is dense and not meant for a beginner, it really helps you understand Javascript a lot. I had read Definitive Javscript by Flanagan, but some of the concepts are more clearly discussed in this book, even though it may take you more than one reading to understand it.

I especially liked the discussion on method invocation patterns in Chapter 4."
0847826465,9780847826469,History of Beauty,Umberto Eco,Hardcover,Rizzoli International Publications,2004-11-20,Read,2008-09-27,2008-05-25 03:25:54 -0700,"",false,,
0321445619,9780321445612,The Rails Way (Addison-Wesley Professional Ruby Series),Obie Fernandez,Paperback,Addison-Wesley Professional,2007-11-20,Read,2008-05-16,2008-05-16 23:18:43 -0700,"",false,4.0,
0679720200,9780679720201,The Stranger,Albert Camus,Paperback,Vintage,1989-03-13,Read,2008-06-17,2008-05-16 04:35:38 -0700,"",false,4.0,
1590598849,9781590598849,"Pro C# 2008 and the .NET 3.5 Platform, Fourth Edition (Proffesional Reference Series)",Andrew Troelsen,Paperback,Apress,2007-11-12,Read,2008-05-17,2008-05-11 07:14:41 -0700,"",false,4.0,"I read this book mainly to find out about the new features in C# 2008, and how they all tie together in LINQ. Found the book to be really accessible.

I would recommend it highly as a reference to anyone who is doing serious C# development."
1930110979,9781930110977,Code Generation in Action,Jack Herrington,Paperback,Manning Publications,2003-07-01,Read,2008-05-16,2008-05-10 21:35:19 -0700,hacking,false,3.0,"I picked up this book because it was recommended in some Ruby talks I was watching online. 

The book is about code generation in general, but the examples in the book are mainly in Ruby. This book is a useful guide to code generation. A lot of the concepts in this book have been used in practice in projects like Rails. 

But there is nothing profound over here. At best it provides some useful techniques in your toolbox the next time you are attacking a problem. "
0394573358,9780394573359,A Natural History of the Senses,Diane Ackerman,Hardcover,Random House,1990-06-02,Read,2008-06-03,2008-05-10 19:25:41 -0700,nonfiction,false,,
0972046402,9780972046404,The Lazy Way to Success: How to Do Nothing and Accomplish Everything,Fred Gratzon,Hardcover,Soma Press,2003-01,Read,2008-07-04,2008-05-10 19:04:13 -0700,"",false,,
0802714471,9780802714473,A History Of The World In Six Glasses,Tom Standage,Hardcover,Walker & Company,2005-06-01,Read,2008-07-22,2008-05-10 19:04:12 -0700,"",false,4.0,
1586481932,9781586481933,Lipstick Jihad: A Memoir of Growing Up Iranian in America and American in Iran,Azadeh Moaveni,Hardcover,PublicAffairs,2005-03-01,Read,2008-07-05,2008-05-10 19:03:34 -0700,"",false,4.0,
1573223077,9781573223072,Everything Bad Is Good for You: How Today's Popular Culture Is Actually Making Us Smarter,Steven Johnson,Hardcover,Riverhead Hardcover,2005-05-05,Read,2008-07-05,2008-05-10 18:59:22 -0700,"",false,,
0393051692,9780393051698,Incompleteness: The Proof and Paradox of Kurt Godel (Great Discoveries),Rebecca Goldstein,Hardcover,W. W. Norton & Company,2005-01-01,Read,2008-07-05,2008-05-10 18:59:22 -0700,"",false,,
1593271042,9781593271046,Inside the Machine: An Illustrated Introduction to Microprocessors and Computer Architecture,Jon Stokes,Hardcover,No Starch Press,2006-11-30,Read,2008-06-03,2008-05-10 18:59:20 -0700,"",false,,
0393329097,9780393329094,The Man Who Knew Too Much: Alan Turing and the Invention of the Computer (Great Discoveries),David Leavitt,Paperback,W. W. Norton,2006-11-20,Read,2008-06-13,2008-05-10 18:59:20 -0700,"",false,4.0,"A fascinating account of Alan Turing and his life's work. There were a  places in the book where the author got extremely technical, and I felt a little out of depth. But overall, this book was really inspiring to me as somebody who has studied computer science."
1594201501,9781594201509,Gang Leader for a Day: A Rogue Sociologist Takes to the Streets,Sudhir Venkatesh,Hardcover,"Penguin Press HC, The",2008-01-10,Read,2008-06-13,2008-05-10 18:57:32 -0700,"",false,4.0,What strikes me about the book is the honesty with which the author has reproduced his account of hanging around with a crack-dealing gang in Chicago and the poor black neighborhood where they  conduct their operations. There does not seem to be even a hint of exaggeration or melodrama.
0374299250,9780374299255,Lush Life: A Novel,Richard Price,Hardcover,"Farrar, Straus and Giroux",2008-03-04,Read,2008-07-26,2008-05-10 18:57:32 -0700,"",false,,
0321490452,9780321490452,Design Patterns in Ruby (Addison-Wesley Professional Ruby Series),Russ Olsen,Hardcover,Addison-Wesley Professional,2007-12-21,Read,2008-05-23,2008-05-10 18:57:32 -0700,"",false,3.0,
1416562591,9781416562597,The White Tiger: A Novel,Aravind Adiga,Hardcover,Free Press,2008-04-22,Read,2008-06-05,2008-05-10 18:57:30 -0700,"",false,4.0,"The White Tiger makes a contribution to a subgenre in Indian writing which portrays ‘The Darkness’ that exists as an undercurrent beneath the economic boom and globalisation in urban India. The Mark of Vishnu by Manil Suri (fiction) and Temptations of the West by Pankaj Mishra (non fiction) are some others I can recall.

In a funny, irreverant but hard-hitting account of a man from rural Bihar, Aravind Adiga exposes the utter callousness that exists about basic human dignity and quality of life, outside the glamour and affluence of the big cities. This is the India where rampant corruption, and the evils of the caste system combine to create a wretched existence for most people who live inside it.

A review by Kevin Rushby in the Guardian said : “My hunch is that this is fundamentally an outsider's view and a superficial one. There are so many other alternative Indias out there, uncontacted and unheard.”

I can assure Mr. Rushby that the picture that Adiga paints is anything but superficial. It is just that the rich, and the rising middle class choose to ignore the ‘alternative India’ that exists right outside the comforts of their compounded enclaves.

The only reason I gave the book 4 stars was because of a small bit in between which was bit of a drag."
0713999896,9780713999891,Here Comes Everybody,Clay Shirky,Hardcover,Allen Lane,2008-02-28,Read,2008-05-10,2008-05-10 18:52:03 -0700,"technology, social, nonfiction",true,5.0,"Clay Shirky is one of the most original thinkers that we have today. One oh his very influential earlier writings is an essay titled ‘Power Laws, Weblogs, and Inequality’ and it is available here : http://www.shirky.com/writings/powerlaw_weblog.html

In this books, he provides sharp and clear insights about how technology is changing the way groups interact with each other. Along the way he uses the examples of Wikipedia, Meetup.com, Twitter etc and provides fresh analysis of what social tools are all about and how they affect the way we live our lives."
0060936789,9780060936785,The House of Blue Mangoes: A Novel,David Davidar,Paperback,Harper Perennial,2003-03-01,Read,2008-05-10,2008-05-10 18:48:56 -0700,"indian, fiction",false,,
0452283973,9780452283978,The Impressionist,Hari Kunzru,Paperback,Plume,2003-03-25,Read,2008-05-10,2008-05-10 18:48:54 -0700,"fiction, indian",false,,
