ISBN 10,ISBN 13,Title,Authors,Binding,Publisher,Publication Date,Bookshelf,Bookshelf Date,Date Added,Tags,Favorite,Rating,Review
0670033375,9780670033379,Collapse: How Societies Choose to Fail or Succeed,Jared Diamond,Hardcover,Viking Adult,2004-12-29,Read,2008-05-10,2008-05-10 18:46:56 -0700,"",false,,
0385499841,9780385499842,"The Art of Innovation: Lessons in Creativity from IDEO, America's Leading Design Firm","Tom Kelley, Tom Peters",Hardcover,Currency,2001-01-16,Read,2008-05-10,2008-05-10 18:46:56 -0700,"",false,,
0374105839,9780374105839,"The Argumentative Indian: Writings on Indian History, Culture and Identity",Amartya Sen,Hardcover,"Farrar, Straus and Giroux",2005-10-12,Read,2008-05-10,2008-05-10 18:46:13 -0700,"",false,3.0,
0671202537,9780671202538,Unpopular Essays,Bertrand Russell,Paperback,Simon & Schuster,1950-06,Read,2008-05-10,2008-05-10 18:46:12 -0700,"",false,,
0006547745,9780006547747,From the Holy Mountain,William Dalrymple,Paperback,Flamingo,1998-05-05,Read,2008-05-10,2008-05-10 18:46:10 -0700,travel,true,5.0,
0393060071,9780393060072,Identity and Violence: The Illusion of Destiny (Issues of Our Time),Amartya Sen,Hardcover,W. W. Norton,2006-03-27,Read,2008-05-10,2008-05-10 18:46:09 -0700,"",false,4.0,
1594201005,9781594201004,The War of the World: Twentieth-Century Conflict and the Descent of the West,Niall Ferguson,Hardcover,"Penguin Press HC, The",2006-09-21,Read,2008-05-10,2008-05-10 18:46:07 -0700,"",false,,
0813338638,9780813338637,The Culture Cult: Designer Tribalism And Other Essays,Roger Sandall,Paperback,Westview Press,2000-11-01,Read,2008-05-10,2008-05-10 18:46:06 -0700,"",false,,
0738204315,9780738204314,The Cluetrain Manifesto: The End of Business as Usual,"David Weinberger, Christopher Locke, Rick Levine, Doc Searls",Paperback,Perseus Books Group,,Read,2008-05-10,2008-05-10 18:46:06 -0700,"",true,5.0,
0380789035,9780380789030,American Gods,Neil Gaiman,Mass Market Paperback,HarperTorch,,Read,2008-05-10,2008-05-10 18:46:06 -0700,"",false,,
0966446119,9780966446111,The Essays of Warren Buffett : Lessons for Corporate America,Warren E. Buffett,Paperback,The Cunningham Group,2001-04-11,Read,2008-05-10,2008-05-10 18:46:06 -0700,"",false,,
006073132X,9780060731328,Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,"Steven D. Levitt, Stephen J. Dubner",Roughcut,William Morrow,2005-05-01,Read,2008-05-10,2008-05-10 18:46:06 -0700,"",false,,
0060555661,9780060555665,The Intelligent Investor Rev Ed. (Collins Business Essentials),"Benjamin Graham, Jason Zweig",Paperback,Collins,2003-07-01,Read,2008-05-10,2008-05-10 18:46:06 -0700,"",false,,
0385504209,9780385504201,The Da Vinci Code,Dan Brown,Hardcover,Doubleday,2003-03-18,Read,2008-05-10,2008-05-10 18:46:06 -0700,"",false,,
0393062112,9780393062113,The Shia Revival: How Conflicts within Islam Will Shape the Future,Vali Nasr,Hardcover,W. W. Norton,2006-08-05,Read,2008-05-10,2008-05-10 18:46:05 -0700,"",false,4.0,
1932234438,9781932234435,"Kapilavastu (Buddha, Vol. 1)",Osamu Tezuka,Hardcover,Vertical,2003-10-25,Read,2008-05-10,2008-05-10 18:46:03 -0700,"",false,,
1932234446,9781932234442,"The Four Encounters (Buddha, Vol. 2)",Osamu Tezuka,Hardcover,Vertical,2003-11-25,Read,2008-05-10,2008-05-10 18:46:01 -0700,"",false,,
0789723107,9780789723109,Don't Make Me Think! A Common Sense Approach to Web Usability (Circle.Com Library),Steve Krug,Paperback,New Riders Press,2000-10-13,Read,2008-05-10,2008-05-10 18:46:00 -0700,"",false,,
1594863032,9781594863035,Refuse to Choose!: A Revolutionary Program for Doing Everything That You Love,Barbara Sher,Hardcover,Rodale Books,2006-03-07,Read,2008-05-10,2008-05-10 18:45:59 -0700,"",false,,
0231134983,9780231134989,Globalized Islam: The Search for a New Ummah (The Ceri Series in Comparative Politics and International Studies),Olivier Roy,Hardcover,Columbia University Press,2004-10-13,Read,2008-05-10,2008-05-10 18:45:57 -0700,"",false,,
1932234454,9781932234459,"Devadatta (Buddha, Vol. 3)",Osamu Tezuka,Hardcover,Vertical,2004-04-25,Read,2008-05-10,2008-05-10 18:45:56 -0700,"",false,,
0375422307,9780375422300,Persepolis: The Story of a Childhood (Alex Awards (Awards)),Marjane Satrapi,Hardcover,Pantheon,2003-04,Read,2008-05-10,2008-05-10 18:45:55 -0700,"",false,,
037570924X,9780375709241,An Equal Music: A Novel,Vikram Seth,Paperback,Vintage,2000-05-02,Read,2008-05-10,2008-05-10 18:45:53 -0700,"",false,,
0201633612,9780201633610,Design Patterns: Elements of Reusable Object-Oriented Software (Addison-Wesley Professional Computing Series),"Erich Gamma, Richard Helm, Ralph Johnson, John Vlissides",Hardcover,Addison-Wesley Professional,1995-01-15,Read,2008-05-10,2008-05-10 18:45:53 -0700,"",false,,
0786868716,9780786868711,The Five People You Meet in Heaven,Mitch Albom,Hardcover,Hyperion,,Read,2008-05-10,2008-05-10 18:45:53 -0700,"",false,,
157410103X,9781574101034,The Bootstrapper's Bible: How to Start and Build a Business With a Great Idea and (Almost) No Money,Seth Godin,Paperback,Upstart Pub Co,1998-12-01,Read,2008-05-10,2008-05-10 18:45:53 -0700,"",false,,
1594200394,9781594200397,Happiness: Lessons from a New Science,Richard Layard,Hardcover,"Penguin Press HC, The",2005-01-27,Read,2008-05-10,2008-05-10 18:45:53 -0700,"",false,,
0375422889,9780375422881,Persepolis 2: The Story of a Return,Marjane Satrapi,Hardcover,Pantheon,2004-08-31,Read,2008-05-10,2008-05-10 18:45:52 -0700,"",false,,
0201485672,9780201485677,Refactoring: Improving the Design of Existing Code,"Martin Fowler, Kent Beck, John Brant, William Opdyke, Don Roberts",Hardcover,Addison-Wesley Professional,1999-06-28,Read,2008-05-10,2008-05-10 18:45:52 -0700,"",false,,
157660201X,9781576602010,Guide to Financial Markets (Economist (Hardcover)),Marc Levinson,Hardcover,Bloomberg Press,2006-03-01,Read,2008-05-10,2008-05-10 18:45:51 -0700,"",false,4.0,
0340899697,9780340899694,The Peacock Throne,Sujit Saraf,Paperback,Sceptre,2007-01,Read,2008-05-10,2008-05-10 18:45:48 -0700,"",false,,
0691134383,9780691134383,What Makes a Terrorist: Economics and the Roots of Terrorism (Lionel Robbins Lectures),Alan B. Krueger,Hardcover,Princeton University Press,2007-08-16,Read,2008-05-10,2008-05-10 18:45:47 -0700,"",false,,
0393323714,9780393323719,Reinventing the Bazaar: A Natural History of Markets,John McMillan,Paperback,W. W. Norton & Company,2003-11,Read,2008-05-10,2008-05-10 18:45:45 -0700,"",true,5.0,
0060005696,9780060005696,The Paradox of Choice: Why More Is Less,Barry Schwartz,Paperback,Harper Perennial,2005-01-01,Read,2008-05-10,2008-05-10 18:45:43 -0700,"",false,,
0312425090,9780312425098,An End to Suffering: The Buddha in the World,Pankaj Mishra,Paperback,Picador,2005-10-01,Read,2008-05-10,2008-05-10 18:45:43 -0700,"",false,4.0,
0446691437,9780446691437,The War of Art: Break Through the Blocks and Win Your Inner Creative Battles,Steven Pressfield,Paperback,Warner Books,2003-04-01,Read,2008-05-10,2008-05-10 18:45:43 -0700,"",false,,
0061130354,9780061130359,Sacred Games: A Novel,Vikram Chandra,Hardcover,HarperCollins,2006-12-29,Read,2008-05-10,2008-05-10 18:45:43 -0700,"",true,4.0,
0140447970,9780140447972,Sentimental Education (Penguin Classics),Gustave Flaubert,Paperback,Penguin Classics,2004-10-26,Read,2008-05-10,2008-05-10 18:45:42 -0700,"",false,,
0374173214,9780374173210,"Temptations of the West: How to Be Modern in India, Pakistan, Tibet, and Beyond",Pankaj Mishra,Hardcover,"Farrar, Straus and Giroux",2006-06-13,Read,2008-05-10,2008-05-10 18:45:42 -0700,"",true,5.0,
1575860104,9781575860107,Digital Typography (Center for the Study of Language and Information - Lecture Notes),Donald E. Knuth,Paperback,Center for the Study of Language and Inf,1998-06-01,Read,2008-05-10,2008-05-10 18:45:42 -0700,"",false,,
0881792063,9780881792065,The Elements of Typographic Style,Robert Bringhurst,Paperback,Hartley and Marks Publishers,2004-10-09,Read,2008-05-10,2008-05-10 18:45:42 -0700,"",true,5.0,"This book made me truly appreciate the fact that typography is as much an art form, as a science.

"
0321193857,9780321193858,"The Non-Designer's Design Book, Second Edition",Robin Williams,Paperback,Peachpit Press,2003-09-15,Read,2008-05-10,2008-05-10 18:45:42 -0700,"",false,,
0385514743,9780385514743,In Spite of the Gods: The Strange Rise of Modern India,Edward Luce,Hardcover,Doubleday,2007-01-16,Read,2008-05-10,2008-05-10 18:45:31 -0700,"",false,4.0,
156924670X,9781569246702,Days and Nights on the Grand Trunk Road,Anthony Weller,Paperback,Marlowe & Company,1998-09-01,Read,2008-05-10,2008-05-10 18:45:31 -0700,"",false,,
0316132934,9780316132930,Red Earth and Pouring Rain: A Novel,Vikram Chandra,Paperback,Back Bay Books,1997-03-01,Read,2008-05-10,2008-05-10 18:45:31 -0700,"",false,4.0,
0316136778,9780316136778,Love and Longing in Bombay: Stories,Vikram Chandra,Paperback,Back Bay Books,1998-10-01,Read,2008-05-10,2008-05-10 18:45:31 -0700,"",false,,
0156031566,9780156031561,The Places In Between,Rory Stewart,Paperback,Harvest Books,2006-05-08,Read,2008-05-10,2008-05-10 18:45:31 -0700,"",true,5.0,
0691122946,9780691122946,On Bullshit,Harry G. Frankfurt,Hardcover,Princeton University Press,2005-01-10,Read,2008-05-10,2008-05-10 18:45:31 -0700,"",false,4.0,
1864501731,9781864501735,In Xanadu: A Quest,William Dalrymple,Paperback,Lonely Planet Publications,2000-04-01,Read,2008-05-10,2008-05-10 18:45:31 -0700,"",false,,
0399153942,9780399153945,The Afghan,Frederick Forsyth,Hardcover,Putnam Adult,2006-08-22,Read,2008-05-10,2008-05-10 18:45:21 -0700,"",false,,
0143036742,9780143036746,A Short History of Tractors in Ukrainian,Marina Lewycka,Paperback,Penguin (Non-Classics),2006-03-28,Read,2008-05-10,2008-05-10 18:45:21 -0700,"",false,,
014200412X,9780142004128,White Mughals: Love and Betrayal in Eighteenth-Century India,William Dalrymple,Paperback,Penguin (Non-Classics),2004-04-27,Read,2008-05-10,2008-05-10 18:45:21 -0700,"",true,5.0,
1591841267,9781591841265,"Small Is the New Big: and 183 Other Riffs, Rants, and Remarkable Business Ideas",Seth Godin,Hardcover,Portfolio Hardcover,2006-08-17,Read,2008-05-10,2008-05-10 18:45:21 -0700,"",false,4.0,
0151012350,9780151012350,The Prince of the Marshes: And Other Occupational Hazards of a Year in Iraq,Rory Stewart,Hardcover,Harcourt,2006-07-26,Read,2008-05-10,2008-05-10 18:45:21 -0700,"",true,5.0,
1590597141,9781590597149,Founders at Work: Stories of Startups Early Days,Jessica Livingston,Hardcover,Apress,2007-01-22,Read,2008-05-10,2008-05-10 18:45:12 -0700,"",true,5.0,
0321011473,9780321011473,Influence: Science and Practice (4th Edition),Robert B. Cialdini,Paperback,Allyn & Bacon,2000-06-29,Read,2008-05-10,2008-05-10 18:45:12 -0700,"",true,5.0,"This book has had a dramatic impact on the way I deal with ‘compliance professionals’, as Cialdini likes to call them. You will be surprised at the techniques they use, and the human tendencies that they exploit in order to get you to comply to their wishes, for profit or otherwise.

Influence is a useful tool to counteract such tactics."
0060750510,9780060750510,In Praise of Slowness: Challenging the Cult of Speed (Plus),Carl Honore,Paperback,HarperOne,2005-09-06,Read,2008-05-10,2008-05-10 18:45:12 -0700,"",false,,
0596003013,9780596003012,"Learning Cocoa with Objective-C, 2nd Edition","James Duncan Davidson, Inc. Apple Computer",Paperback,"O'Reilly Media, Inc.",2002-09-20,Read,2008-05-10,2008-05-10 18:45:12 -0700,"",false,,
0393325350,9780393325355,A Random Walk Down Wall Street: Completely Revised and Updated Edition,Burton G. Malkiel,Paperback,W. W. Norton & Company,2003-01-01,Read,2008-05-10,2008-05-10 18:45:12 -0700,"",false,,
0393324869,9780393324860,Naked Economics: Undressing the Dismal Science,Charles Wheelan,Paperback,W. W. Norton & Company,2003-09,Read,2008-05-10,2008-05-10 18:45:00 -0700,"",true,5.0,"If you have read books like Freakonomics, Logic of life and want to start getting serious about economics, this book is great to start with.

Concepts of economics are explained with not a single graph in the entire book :), and in a very entertaining manner."
1400043107,9781400043101,"The Last Mughal: The Fall of a Dynasty: Delhi, 1857",William Dalrymple,Hardcover,Knopf,2007-03-27,Read,2008-05-10,2008-05-10 18:44:59 -0700,"",false,4.0,
159059844X,9781590598443,Managing Humans: Biting and Humorous Tales of a Software Engineering Manager,Michael Lopp,Paperback,Apress,2007-06-12,Read,2008-05-10,2008-05-10 18:44:59 -0700,"",true,4.0,
0596527055,9780596527051,The Myths of Innovation,Scott Berkun,Hardcover,"O'Reilly Media, Inc.",2007-05-04,Read,2008-05-10,2008-05-10 18:44:59 -0700,"",false,4.0,
0307353133,9780307353139,"The 4-Hour Workweek: Escape 9-5, Live Anywhere, and Join the New Rich",Timothy Ferriss,Hardcover,Crown,2007-04-24,Read,2008-05-10,2008-05-10 18:44:59 -0700,"",false,4.0,
1400082463,9781400082469,"Dreaming in Code: Two Dozen Programmers, Three Years, 4,732 Bugs, and One Quest for Transcendent Software",Scott Rosenberg,Hardcover,Crown,2007-01-16,Read,2008-05-10,2008-05-10 18:44:59 -0700,"",true,5.0,
0525950257,9780525950257,"Discover Your Inner Economist: Use Incentives to Fall in Love, Survive Your Next Meeting, and Motivate Your Dentist",Tyler Cowen,Hardcover,Dutton Adult,2007-08-02,Read,2008-05-10,2008-05-10 18:44:45 -0700,"",true,4.0,
1594201315,9781594201318,The Age of Turbulence: Adventures in a New World,Alan Greenspan,Hardcover,"Penguin Press HC, The",2007-09-17,Read,2008-05-10,2008-05-10 18:44:45 -0700,"",false,,
0385124740,9780385124744,Beyond Culture,Edward T. Hall,Paperback,Anchor Books,1977-01-07,Read,2008-05-10,2008-05-10 18:44:44 -0700,"",true,5.0,
0691121354,9780691121352,A Farewell to Alms: A Brief Economic History of the World (Princeton Economic History of the Western World),Gregory Clark,Hardcover,Princeton University Press,2007-07-24,Read,2008-05-10,2008-05-10 18:44:44 -0700,"",true,4.0,
0553805401,9780553805406,Super Crunchers: Why Thinking-by-Numbers Is the New Way to Be Smart,Ian Ayres,Hardcover,Bantam,2007-08-28,Read,2008-05-10,2008-05-10 18:44:44 -0700,"recommended, finished, future, statistics, data mining",false,,
0399154302,9780399154300,Spook Country,William Gibson,Hardcover,Putnam Adult,2007-08-07,Read,2008-05-10,2008-05-10 18:44:44 -0700,"",false,,
0142196282,9780142196281,If the Buddha Got Stuck: A Handbook for Change on a Spiritual Path,Charlotte Kasl,Paperback,Penguin (Non-Classics),2005-01-04,Read,2008-05-10,2008-05-10 18:44:42 -0700,"",false,,
0465028012,9780465028016,The Happiness Hypothesis: Finding Modern Truth in Ancient Wisdom,Jonathan Haidt,Hardcover,Basic Books,2005-12-26,Read,2008-05-10,2008-05-10 18:44:41 -0700,"",true,5.0,
0143102451,9780143102458,Writings on Lucknow,E. Aswadh Shaam,Paperback,Penguin Books,2007-09-30,Read,2008-05-10,2008-05-10 18:44:40 -0700,"",true,5.0,"Having lived in the city of Lucknow for 12 years, this book made me appreciate the city even more.

An interesting essay talks about the Nawabi cooks of Lucknow, who used to feed the chicken with saffron and pineapple, in order to flavour the meat that they would subsequently use to cook the famed dishes."
0140296476,9780140296471,Zero: The Biography of a Dangerous Idea,Charles Seife,Paperback,Penguin (Non-Classics),2000-09-01,Read,2008-05-10,2008-05-10 18:44:27 -0700,"",false,,
0262731428,9780262731423,The Idea Factory: Learning to Think at MIT,Pepper White,Paperback,The MIT Press,2001-10-01,Read,2008-05-10,2008-05-10 18:44:27 -0700,"",true,5.0,
0060155477,9780060155476,The Intelligent Investor: A Book of Practical Counsel,Benjamin Graham,Hardcover,Collins,1986-01-22,Read,2008-05-10,2008-05-10 18:44:27 -0700,"",false,,
0942299698,9780942299694,"The Invention of Pornography, 1500-1800: Obscenity and the Origins of Modernity","",Paperback,Zone Books,1996-08-26,Read,2008-05-10,2008-05-10 18:44:27 -0700,"",false,4.0,
0131103628,9780131103627,The  C Programming Language (2nd Edition),"Brian W. Kernighan, Dennis M. Ritchie",Paperback,Prentice Hall PTR,1988-03-22,Read,2008-05-10,2008-05-10 18:44:27 -0700,"",false,,
1560259817,9781560259817,Overclocked: Stories of the Future Present,Cory Doctorow,Paperback,Thunder's Mouth Press,2007-01-11,Read,2008-05-10,2008-05-10 18:44:26 -0700,"",false,,
1596911042,9781596911048,JPod: A Novel,Douglas Coupland,Hardcover,Bloomsbury USA,2006-05-16,Read,2008-05-10,2008-05-10 18:44:26 -0700,"",true,4.0,
1400066425,9781400066421,The Logic of Life: The Rational Economics of an Irrational World,Tim Harford,Hardcover,Random House,2008-01-15,Read,2008-05-10,2008-05-10 18:44:26 -0700,"",false,,
0596101996,9780596101992,JavaScript: The Definitive Guide,David Flanagan,Paperback,O'Reilly Media,2006-08-01,Read,2008-05-10,2008-05-10 18:44:26 -0700,"",false,,
1594201455,9781594201455,In Defense of Food: An Eater's Manifesto,Michael Pollan,Hardcover,"Penguin Press HC, The",2008-01-01,Read,2008-05-10,2008-05-10 18:44:04 -0700,"",true,4.0,
0691127093,9780691127095,A Certain Ambiguity: A Mathematical Novel,"Gaurav Suri, Hartosh Singh Bal",Hardcover,Princeton University Press,2007-07-02,Read,2008-05-10,2008-05-10 18:44:04 -0700,"",false,4.0,
1594200823,9781594200823,The Omnivore's Dilemma: A Natural History of Four Meals,Michael Pollan,Hardcover,"Penguin Press HC, The",2006-04-11,Read,2008-05-10,2008-05-10 18:44:04 -0700,"",true,5.0,"The Omnivore's Dilemma is book that will make you think about the food you eat, and along the way provide an informative journey into the modern food industry and its ills.

The followup to this book ’The Eater's Manifesto’ will then help you to make intelligent food choices."
0385515065,9780385515061,"Uncertainty: Einstein, Heisenberg, Bohr, and the Struggle for the Soul of Science",David Lindley,Hardcover,Doubleday,2007-02-20,Read,2008-05-10,2008-05-10 18:44:04 -0700,"",false,,
0446580260,9780446580267,The Geography of Bliss: One Grump's Search for the Happiest Places in the World,Eric Weiner,Hardcover,Twelve,2008-01-03,Read,2008-05-10,2008-05-10 18:44:04 -0700,"",false,,
0596510047,9780596510046,Beautiful Code: Leading Programmers Explain How They Think (Theory in Practice (O'Reilly)),"Andy Oram, Greg Wilson",Paperback,"O'Reilly Media, Inc.",2007-06-26,Read,2008-05-10,2008-05-10 18:44:04 -0700,"",false,,
0802117880,9780802117885,Sightseeing: Stories,Rattawut Lapcharoensap,Hardcover,Grove/Atlantic,2004-11-30,Read,2008-05-10,2008-05-10 18:43:39 -0700,"",false,,
0802118518,9780802118516,The Unknown Terrorist: A Novel,Richard Flanagan,Hardcover,Grove Press,2007-05-10,Read,2008-05-10,2008-05-10 18:43:37 -0700,"",false,,
0324224729,9780324224726,Principles of Economics Student Edition,N. Gregory Mankiw,Hardcover,South-Western College Pub,2006-02-15,Read,2008-05-10,2008-05-10 18:42:50 -0700,"",true,5.0,
0618620109,9780618620104,Proust Was a Neuroscientist,Jonah Lehrer,Hardcover,Houghton Mifflin,2007-11-01,Read,2008-05-10,2008-05-10 18:42:50 -0700,"",false,,
0060198818,9780060198817,India After Gandhi: The History of the World's Largest Democracy,Ramachandra Guha,Hardcover,Ecco,2007-08-01,Read,2008-05-10,2008-05-10 18:42:50 -0700,"",true,5.0,"Every Indian schoolboy/schoolgirl is familiar with the history of India from the Indus Valley Civilisation to the Freedom Struggle and independence from the British in 1947 (and subsequently the death of Gandhi and the adoption of an Indian Constitution in 1950)

Guha's book is significant because it talks about the events and people after independence, a piece of history which has been largely ignored, especially by the current 20-30 year olds, the largest portion of India's population and the movers and shakers of tomorrow.

Every Indian needs to read this book, to understand and acknowledge the extraordinary efforts of politicians and bureaucrats who were there at the beginning and who against all odds shaped India into a modern, democratic nation state that it is today.

Despite all the exasperation that I (as many others) feel at being an Indian citizen and dealing with the day-to-day difficulties of living (or surviving) in modern India, this book makes me proud to be an Indian."
1596914696,9781596914698,How to Talk About Books You Haven't Read,Pierre Bayard,Hardcover,Bloomsbury USA,2007-10-30,Read,2008-05-10,2008-05-10 18:42:50 -0700,"",false,,
006135323X,9780061353239,Predictably Irrational: The Hidden Forces That Shape Our Decisions,Dan Ariely,Hardcover,HarperCollins,2008-02-19,Read,2008-05-10,2008-05-10 18:42:50 -0700,"",false,,
1932394699,9781932394696,Ruby for Rails: Ruby Techniques for Rails Developers,David Black,Paperback,Manning Publications,2006-05-11,Read,2008-05-10,2008-05-10 18:42:49 -0700,"",false,4.0,
0765319853,9780765319852,Little Brother,Cory Doctorow,Hardcover,Tor Teen,2008-04-29,Read,2008-05-10,2008-05-10 18:42:49 -0700,"",false,3.0,
0672328844,9780672328848,"The Ruby Way, Second Edition: Solutions and Techniques in Ruby Programming (2nd Edition) (Addison-Wesley Professional Ruby Series)",Hal Fulton,Paperback,Addison-Wesley Professional,2006-10-25,Read,2008-05-10,2008-05-10 18:42:49 -0700,"",false,,
0156029634,9780156029636,The Only Investment Guide You'll Ever Need,Andrew Tobias,Paperback,Harvest Books,2005-01-03,Read,2007-11-08,2007-10-23 08:47:59 -0700,"",false,,
1569245134,9781569245132,Party of One: The Loners' Manifesto,Anneli Rufus,Paperback,Marlowe & Company,2002-12-17,Read,2008-05-26,2007-08-14 11:37:27 -0700,loners,false,,
1400063515,9781400063512,The Black Swan: The Impact of the Highly Improbable,Nassim Nicholas Taleb,Hardcover,Random House,2007-04-17,Read,2007-10-14,2007-05-16 04:21:29 -0700,"",false,,
0374106789,9780374106782,The Atomic Bazaar: The Rise of the Nuclear Poor,William Langewiesche,Hardcover,"Farrar, Straus and Giroux",2007-05-15,Read,2008-06-06,2007-05-12 04:42:40 -0700,"",false,4.0,
0151013047,9780151013043,The Reluctant Fundamentalist,Mohsin Hamid,Hardcover,Harcourt,2007-04-03,Read,2007-10-17,2007-04-26 14:20:41 -0700,"",false,,
